ἐκδύω|ἐκ+δύω
ἐκζητέω|ἐκ+ζητέω
ἐκθαμβέομαι|ἐκ+θαμβέομαι
ἐκθαυμάζω|ἐκ+θαυμάζω
ἐκκαθαίρω|ἐκ+καθαίρω
ἐκκαίομαι|ἐκ+καίομαι
ἐκκεντέω|ἐκ+κεντέω
ἐκκλάω|ἐκ+κλάω
ἐκκλείω|ἐκ+κλείω
ἐκκλίνω|ἐκ+κλίνω
ἐκκολυμβάω|ἐκ+κολυμβάω
ἐκκομίζω|ἐκ+κομέω
ἐκκόπτω|ἐκ+κόπτω
ἐκκρέμαμαι|ἐκ+κρέμαμαι
ἐκλαλέω|ἐκ+λαλέω
ἐκλάμπω|ἐκ+λάμπω
ἐκλανθάνω|ἐκ+λανθάνω
ἐκλέγομαι|ἐκ+λέγομαι
ἐκλείπω|ἐκ+λείπω
ἐκλύομαι|ἐκ+λύομαι
ἐκμάσσω|ἐκ+μάσσω
ἐκμυκτηρίζω|ἐκ+μυκτηρίζω
ἐκνεύω|ἐκ+νεύω
ἐκνήφω|ἐκ+νήφω
ἐκπειράζω|ἐκ+πειράζω
ἐκπέμπω|ἐκ+πέμπω
ἐκπετάννυμι|ἐκ+πετάννυμι
ἐκπηδάω|ἐκ+πηδάω
ἐκπίπτω|ἐκ+πίπτω
ἐκπλέω|ἐκ+πλέω
ἐκπληρόω|ἐκ+πληρόω
ἐκπλήσσομαι|ἐκ+πλήσσομαι
ἐκπνέω|ἐκ+πνέω
ἐκπορεύομαι|ἐκ+πορεύομαι
ἐκπορνεύω|ἐκ+πορνεύω
ἐκπτύω|ἐκ+πτύω
ἐκριζόω|ἐκ+ῥίζα
ἐκστρέφομαι|ἐκ+στρέφομαι
ἐκταράσσω|ἐκ+ταράσσω
ἐκτείνω|ἐκ+τείνω
ἐκτελέω|ἐκ+τελέω
ἐκτίθημι|ἐκ+τίθημι
ἐκτινάσσω|ἐκ+τινάσσω
ἐκτρέπομαι|ἐκ+τρέπομαι
ἐκτρέφω|ἐκ+τρέφω
ἐκφέρω|ἐκ+φέρω
ἐκφεύγω|ἐκ+φεύγω
ἐκφοβέω|ἐκ+φοβέω
ἐκφύω|ἐκ+φύω
ἐκχέω|ἐκ+χέω
ἐκχωρέω|ἐκ+χωρέω
ἐκψύχω|ἐκ+ψύχω
ἐξαγγέλλω|ἐκ+ἀγγέλλω
ἐξαγοράζω|ἐκ+ἀγοράζω
ἐξάγω|ἐκ+ἄγω
ἐξαιρέω|ἐκ+αἱρέω
ἐξαίρω|ἐκ+αἴρω
ἐξαιτέομαι|ἐκ+αἰτέω
ἐξακολουθέω|ἐκ+ἀκολουθέω
ἐξαλείφω|ἐκ+ἀλείφω
ἐξάλλομαι|ἐκ+ἅλλομαι
ἐξανατέλλω|ἐκ+ἀνά+τέλλω
ἐξανίστημι|ἐκ+ἀνά+ἵστημι
ἐξαπατάω|ἐκ+ἀπατάω
ἐξαπορέομαι|ἐκ+ἀπορέω
ἐξαποστέλλω|ἐκ+ἀπό+στέλλω
ἐξαρτίζω|ἐκ+ἀρτίζω
ἐξαστράπτω|ἐκ+ἀστράπτω
ἐξεγείρω|ἐκ+ἐγείρω
ἔξειμι|ἐκ+εἰμί
ἐξέλκω|ἐκ+ἕλκω
ἐξεραυνάω|ἐκ+ἐραυνάω
ἐξέρχομαι|ἐκ+ἔρχομαι
ἔξεστι(ν)|ἐκ+ἔστι(ν)
ἐξετάζω|ἐκ+ἐτάζω
ἐξηγέομαι|ἐκ+ἡγέομαι
ἐξηχέομαι|ἐκ+ἠχέω
ἐξίστημι|ἐκ+ἵστημι
ἐξισχύω|ἐκ+ἴσχυω
ἐξολεθρεύω|ἐκ+ὀλεθρεύω
ἐξομολογέω|ἐκ+ὁμολογέω
ἐξορκίζω|ἐκ+ὁρκίζω
ἐξορύσσω|ἐκ+ὀρύσσω
ἐξουδενέω|ἐκ+οὐδενέω
ἐξουθενέω|ἐκ+οὐθενέω
ἐξουσιάζω|ἐκ+οὐσιάζω
ἐξυπνίζω|ἐκ+ὑπνίζω
ἐξωθέω|ἐκ+ὠθέω
ἐγγράφω|ἐν+γράφω
ἐγκαινίζω|ἐν+καινίζω
ἐγκακέω|ἐν+κακέω
ἐγκαλέω|ἐν+καλέω
ἐγκατοικέω|ἐν+κατά+οἰκέω
ἐγκαυχάομαι|ἐν+καυχάομαι
ἐγκεντρίζω|ἐν+κεντρίζω
ἐγκομβόομαι|ἐν+κομβόομαι
ἐγκόπτω|ἐν+κόπτω
ἐγκρατεύομαι|ἐν+κρατεύομαι
ἐγκρίνω|ἐν+κρίνω
ἐγκρύπτω|ἐν+κρύπτω
ἐγχρίω|ἐν+χρίω
ἐμβαίνω|ἐν+βαίνω
ἐμβάλλω|ἐν+βάλλω
ἐμβάπτω|ἐν+βάπτω
ἐμβατεύω|ἐν+βατεύω
ἐμβιβάζω|ἐν+βιβάζω
ἐμβλέπω|ἐν+βλέπω
ἐμβριμάομαι|ἐν+βριμάομαι
ἐμμαίνομαι|ἐν+μαίνομαι
ἐμμένω|ἐν+μένω
ἐμπαίζω|ἐν+παίξω
ἐμπεριπατέω|ἐν+περί+πατέω
ἐμπίμπλημι|ἐν+πίμπλημι
ἐμπίμπρημι|ἐν+πίμπρημι
ἐμπίπτω|ἐν+πίπτω
ἐμπλέκομαι|ἐν+πλέκομαι
ἐμπνέω|ἐν+πνέω
ἐμπορεύομαι|ἐν+πορεύομαι
ἐμπτύω|ἐν+πτύω
ἐμφανίζω|ἐν+φανίζω
ἐμφυσάω|ἐν+φυσάω
ἐναγκαλίζομαι|ἐν+ἀγκάλη
ἐνάρχομαι|ἐν+ἄρχομαι
ἐνδείκνυμι|ἐν+δείκνυμι
ἐνδέχεται|ἐν+δέχεται
ἐνδημέω|ἐν+δημέω
ἐνδιδύσκω|ἐν+διδύσκω
ἐνδοξάζομαι|ἐν+δοξάζομαι
ἐνδυναμόω|ἐν+δυναμόω
ἐνδύνω|ἐν+δύνω
ἐνδύω|ἐν+δύω
ἐνεδρεύω|ἐν+εδρεύω
ἐνειλέω|ἐν+εἰλέω
ἔνειμι|ἐν+εἰμί
ἐνεργέω|ἐν+ἔργον
ἐνευλογέω|ἐν+εὐλογέω
ἐνέχω|ἐν+ἔχω
ἐνθυμέομαι|ἐν+θυμός
ἐνίστημι|ἐν+ἵστημι
ἐνισχύω|ἐν+ἰσχύω
ἐννεύω|ἐν+νεύω
ἐνοικέω|ἐν+οἰκέω
ἐνορκίζω|ἐν+ὁρκίζω
ἐνοχλέω|ἐν+ὀχλέω
ἐνταφιάζω|ἐν+ταφιάζω
ἐντέλλομαι|ἐν+τέλλομαι
ἐντρέπω|ἐν+τρέπω
ἐντρέφομαι|ἐν+τρέφομαι
ἐντρυφάω|ἐν+τρυφάω
ἐντυγχάνω|ἐν+τυγχάνω
ἐντυλίσσω|ἐν+τυλίσσω
ἐντυπόω|ἐν+τύπος
ἐνυβρίζω|ἐν+ὑβρίζω
ἐνυπνιάζομαι|ἐν+ὑπνιάζομαι
ἐνωτίζομαι|ἐν+ὠτίζομαι
ἐπαγγέλλομαι|ἐπί+ἀγγέλλομαι
